Label,Availability (%),Update Rate (Hz),Latency (s),Extrapolation/Last Known Position,Server Ext & Rel Pos Update Rate (Hz),Tag
A99,99,2,0.3,Ext3,10,A99_Ext3
A95,95,2,0.3,Ext3,10,A95_Ext3
A90,90,2,0.3,Ext3,10,A90_Ext3
A85,85,2,0.3,Ext3,10,A85_Ext3
A80,80,2,0.3,Ext3,10,A80_Ext3
UR0.2,90,0.2,0.3,Ext3,10,UR0.2_Ext3
UR0.33,90,0.333333333,0.3,Ext3,10,UR0.33_Ext3
UR1,90,1,0.3,Ext3,10,UR1_Ext3
UR2,90,2,0.3,Ext3,10,UR2_Ext3
UR5,90,5,0.3,Ext3,10,UR5_Ext3
L0.1,90,2,0.1,Ext3,10,L0.1_Ext3
L0.2,90,2,0.2,Ext3,10,L0.2_Ext3
L0.3,90,2,0.3,Ext3,10,L0.3_Ext3
L0.5,90,2,0.5,Ext3,10,L0.5_Ext3
L0.7,90,2,0.7,Ext3,10,L0.7_Ext3
L1,90,2,1,Ext3,10,L1_Ext3
EXT_R20,90,2,0.3,Ext3,20,EXT_R20_Ext3
EXT_R10,90,2,0.3,Ext3,10,EXT_R10_Ext3
EXT_R5,90,2,0.3,Ext3,5,EXT_R5_Ext3
Best,99,10,0.1,Ext3,20,Best_Ext3
Realistic,90,2,0.3,Ext3,10,Realistic_Ext3
Worst,80,0.333333333,1,Ext3,5,Worst_Ext3
A90,90,2,0.3,Ext2,10,A90_Ext2
A85,85,2,0.3,Ext2,10,A85_Ext2
A80,80,2,0.3,Ext2,10,A80_Ext2
UR0.2,90,0.2,0.3,Ext2,10,UR0.2_Ext2
UR0.33,90,0.333333333,0.3,Ext2,10,UR0.33_Ext2
UR1,90,1,0.3,Ext2,10,UR1_Ext2
UR2,90,2,0.3,Ext2,10,UR2_Ext2
UR5,90,5,0.3,Ext2,10,UR5_Ext2
L0.1,90,2,0.1,Ext2,10,L0.1_Ext2
L0.2,90,2,0.2,Ext2,10,L0.2_Ext2
L0.3,90,2,0.3,Ext2,10,L0.3_Ext2
L0.5,90,2,0.5,Ext2,10,L0.5_Ext2
L0.7,90,2,0.7,Ext2,10,L0.7_Ext2
L1,90,2,1,Ext2,10,L1_Ext2
EXT_R20,90,2,0.3,Ext2,20,EXT_R20_Ext2
EXT_R10,90,2,0.3,Ext2,10,EXT_R10_Ext2
EXT_R5,90,2,0.3,Ext2,5,EXT_R5_Ext2
Best,99,10,0.1,Ext2,20,Best_Ext2
Realistic,90,2,0.3,Ext2,10,Realistic_Ext2
Worst,80,0.333333333,1,Ext2,5,Worst_Ext2
A90,90,2,0.3,ExtOff,10,A90_ExtOff
A85,85,2,0.3,ExtOff,10,A85_ExtOff
A80,80,2,0.3,ExtOff,10,A80_ExtOff
UR0.2,90,0.2,0.3,ExtOff,10,UR0.2_ExtOff
UR0.33,90,0.333333333,0.3,ExtOff,10,UR0.33_ExtOff
UR1,90,1,0.3,ExtOff,10,UR1_ExtOff
UR2,90,2,0.3,ExtOff,10,UR2_ExtOff
UR5,90,5,0.3,ExtOff,10,UR5_ExtOff
L0.1,90,2,0.1,ExtOff,10,L0.1_ExtOff
L0.2,90,2,0.2,ExtOff,10,L0.2_ExtOff
L0.3,90,2,0.3,ExtOff,10,L0.3_ExtOff
L0.5,90,2,0.5,ExtOff,10,L0.5_ExtOff
L0.7,90,2,0.7,ExtOff,10,L0.7_ExtOff
L1,90,2,1,ExtOff,10,L1_ExtOff
EXT_R20,90,2,0.3,ExtOff,20,EXT_R20_ExtOff
EXT_R10,90,2,0.3,ExtOff,10,EXT_R10_ExtOff
EXT_R5,90,2,0.3,ExtOff,5,EXT_R5_ExtOff
Best,99,5,0.1,ExtOff,20,Best_ExtOff
Realistic,90,2,0.3,ExtOff,10,Realistic_ExtOff
Worst,80,0.2,1,ExtOff,5,Worst_ExtOff
